,EDAD
0,52
1,47
2,55
3,63
4,59
5,63
6,30
7,39
8,37
9,43
10,76
11,31
12,27
13,24
14,60
15,47
16,46
17,25
18,55
19,56
20,41
21,41
22,71
23,25
24,32
25,39
26,57
27,57
28,45
29,52
30,58
31,31
32,47
33,26
34,33
35,53
36,56
37,65
38,59
39,37
40,30
41,27
42,51
43,62
44,49
45,42
46,38
47,28
48,50
49,44
50,56
51,46
52,45
53,34
54,28
55,57
56,27
57,34
58,44
59,39
60,76
61,86
62,56
63,58
64,40
65,52
66,46
67,73
68,36
69,28
70,44
71,28
72,63
73,39
74,29
75,55
76,34
77,34
78,39
79,32
80,33
81,25
82,48
83,57
84,46
85,49
86,54
87,47
88,60
89,34
90,37
91,33
92,34
93,29
94,28
95,89
96,89
97,41
98,21
99,37
100,33
101,25
102,36
103,38
104,65
105,29
106,66
107,31
108,68
109,40
110,41
111,58
112,54
113,26
114,36
115,45
116,33
117,47
118,30
119,84
120,45
121,33
122,30
123,50
124,38
125,49
126,54
127,44
128,50
129,31
130,53
131,56
132,50
133,60
134,39
135,45
136,56
137,86
138,44
139,66
140,28
141,47
142,48
143,61
144,53
145,83
146,40
147,37
148,51
149,53
150,34
151,49
152,31
153,41
154,36
155,36
156,42
157,41
158,31
159,48
160,47
161,66
162,46
163,20
164,29
165,46
166,60
167,50
168,44
169,51
170,50
171,50
172,40
173,52
174,56
175,35
176,29
177,37
178,46
179,60
180,43
181,29
182,28
183,41
184,33
185,33
186,26
187,39
188,40
189,78
190,39
191,49
192,69
193,41
194,67
195,31
196,54
197,40
198,95
199,46
200,46
201,47
202,40
203,70
204,46
205,55
206,77
207,36
208,34
209,65
210,58
211,33
212,61
213,27
214,38
215,54
216,36
217,45
218,56
219,26
220,31
221,39
222,45
223,43
224,54
225,39
226,31
227,26
228,40
229,38
230,46
231,46
232,38
233,52
234,68
235,52
236,59
237,32
238,69
239,40
240,35
241,55
242,57
243,32
244,61
245,32
246,70
247,39
248,40
249,73
250,53
251,38
252,45
253,50
254,48
255,36
256,34
257,65
258,29
259,57
260,49
261,58
262,57
263,56
264,31
265,63
266,62
267,47
268,43
269,58
270,25
271,70
272,31
273,50
274,31
275,60
276,53
277,54
278,22
279,49
280,58
281,43
282,55
283,46
284,82
285,31
286,53
287,78
288,36
289,37
290,69
291,60
292,33
293,44
294,30
295,40
296,35
297,50
298,57
299,80
300,39
301,59
302,75
303,52
304,41
305,70
306,58
307,56
308,33
309,55
310,27
311,92
312,37
313,66
314,45
315,63
316,39
317,49
318,40
319,56
320,46
321,31
322,34
323,56
324,60
325,29
326,45
327,56
328,67
329,35
330,38
331,54
332,39
333,63
334,74
335,23
336,49
337,39
338,23
339,47
340,48
341,55
342,38
343,26
344,38
345,36
346,43
347,34
348,49
349,45
350,71
351,63
352,5
353,49
354,22
355,59
356,49
357,34
358,66
359,27
360,56
361,43
362,56
363,62
364,27
365,56
366,39
367,51
368,37
369,56
370,37
371,33
372,68
373,50
374,77
375,40
376,44
377,57
378,68
379,66
380,38
381,33
382,75
383,32
384,68
385,54
386,47
387,41
388,41
389,36
390,54
391,40
392,5
393,45
394,28
395,44
396,81
397,30
398,51
399,46
400,30
401,49
402,35
403,60
404,65
405,30
406,33
407,50
408,62
409,27
410,42
411,33
412,39
413,42
414,47
415,61
416,55
417,30
418,61
419,44
420,32
421,18
422,56
423,40
424,33
425,32
426,45
427,28
428,50
429,31
430,48
431,31
432,37
433,55
434,34
435,27
436,29
437,29
438,47
439,53
440,46
441,58
442,40
443,45
444,30
445,46
446,30
447,39
448,40
449,44
450,30
451,74
452,41
453,45
454,26
455,38
456,42
457,55
458,66
459,55
460,55
461,31
462,52
463,30
464,59
465,57
466,53
467,36
468,56
469,53
470,56
471,58
472,33
473,61
474,37
475,32
476,45
477,42
478,28
479,28
480,50
481,44
482,30
483,40
484,27
485,28
486,28
487,54
488,24
489,61
490,37
491,65
492,36
493,66
494,48
495,44
496,32
497,78
498,51
499,63
500,57
501,42
502,61
503,23
504,44
505,47
506,29
507,32
508,40
509,27
510,48
511,63
512,34
513,31
514,49
515,59
516,51
517,49
518,83
519,43
520,54
521,28
522,57
523,41
524,69
525,58
526,41
527,47
528,57
529,47
530,53
531,37
532,42
533,42
534,46
535,45
536,61
537,72
538,56
539,36
540,39
541,51
542,42
543,29
544,47
545,37
546,47
547,47
548,42
549,50
550,54
551,44
552,29
553,29
554,44
555,24
556,42
557,53
558,51
559,46
560,53
561,38
562,65
563,29
564,49
565,31
566,37
567,68
568,39
569,45
570,61
571,33
572,45
573,77
574,37
575,26
576,71
577,39
578,26
579,33
580,28
581,48
582,63
583,37
584,55
585,62
586,44
587,44
588,45
589,28
590,53
591,45
592,45
593,38
594,57
595,40
596,0
597,54
598,56
599,46
600,50
601,39
602,36
603,54
604,46
605,62
606,40
607,85
608,24
609,38
610,63
611,48
612,63
613,39
614,56
615,37
616,24
617,35
618,48
619,62
620,25
621,39
622,58
623,51
624,68
625,52
626,74
627,41
628,44
629,43
630,39
631,61
632,66
633,36
634,72
635,40
636,33
637,32
638,34
639,47
640,50
641,70
642,46
643,48
644,40
645,42
646,54
647,58
648,26
649,47
650,70
651,44
652,49
653,27
654,49
655,66
656,31
657,53
658,41
659,43
660,36
661,34
662,49
663,65
664,35
665,38
666,60
667,26
668,65
669,36
670,72
671,36
672,29
673,41
674,51
675,34
676,42
677,24
678,31
679,31
680,47
681,39
682,70
683,55
684,48
685,45
686,63
687,37
688,74
689,28
690,57
691,43
692,53
693,48
694,28
695,45
696,43
697,59
698,54
699,51
700,44
701,33
702,47
703,27
704,63
705,57
706,43
707,35
708,49
709,80
710,46
711,34
712,57
713,26
714,68
715,40
716,65
717,49
718,56
719,44
720,53
721,27
722,32
723,31
724,48
725,44
726,38
727,45
728,26
729,82
730,44
731,59
732,48
733,36
734,78
735,37
736,35
737,48
738,57
739,51
740,42
741,30
742,21
743,54
744,58
745,46
746,39
747,84
748,57
749,33
750,15
751,62
752,22
753,66
754,40
755,26
756,67
757,51
758,35
759,39
760,40
761,25
762,70
763,37
764,28
765,55
766,74
767,51
768,48
769,45
770,81
771,57
772,51
773,73
774,29
775,59
776,48
777,34
778,14
779,44
780,51
781,44
782,31
783,61
784,33
785,71
786,48
787,42
788,53
789,51
790,32
791,41
792,55
793,41
794,59
795,46
796,41
797,53
798,42
799,84
800,27
801,52
802,55
803,47
804,38
805,59
806,67
807,51
808,39
809,64
810,73
811,68
812,46
813,68
814,34
815,60
816,56
817,58
818,27
819,39
820,38
821,30
822,42
823,53
824,44
825,65
826,34
827,40
828,73
829,54
830,43
831,65
832,53
833,37
834,2
835,55
836,56
837,59
838,53
839,45
840,34
841,37
842,60
843,20
844,48
845,50
846,41
847,53
848,62
849,41
850,50
851,67
852,40
853,20
854,82
855,56
856,30
857,52
858,27
859,38
860,25
861,30
862,28
863,62
864,24
865,26
866,41
867,33
868,75
869,30
870,60
871,60
872,59
873,57
874,59
875,28
876,37
877,82
878,35
879,49
880,45
881,52
882,66
883,40
884,37
885,48
886,56
887,55
888,4
889,31
890,66
891,43
892,28
893,23
894,51
895,62
896,30
897,34
898,77
899,49
900,48
901,40
902,71
903,26
904,26
905,50
906,29
907,73
908,61
909,46
910,44
911,45
912,28
913,32
914,39
915,46
916,23
917,43
918,43
919,41
920,25
921,33
922,60
923,43
924,25
925,53
926,49
927,51
928,50
929,82
930,35
931,41
932,54
933,72
934,52
935,60
936,53
937,67
938,44
939,41
940,36
941,48
942,39
943,79
944,54
945,35
946,49
947,50
948,29
949,47
950,33
951,29
952,35
953,44
954,59
955,83
956,41
957,58
958,27
959,51
960,59
961,44
962,40
963,80
964,53
965,65
966,44
967,25
968,77
969,38
970,34
971,43
972,77
973,37
974,32
975,29
976,41
977,53
978,26
979,52
980,62
981,43
982,34
983,53
984,39
985,34
986,66
987,45
988,84
989,35
990,64
991,49
992,51
993,45
994,53
995,87
996,60
997,80
998,45
999,56
1000,39
1001,52
1002,40
1003,42
1004,7
1005,47
1006,31
1007,58
1008,41
1009,35
1010,39
1011,65
1012,46
1013,45
1014,44
1015,46
1016,66
1017,29
1018,42
1019,91
1020,40
1021,41
1022,26
1023,58
1024,59
1025,54
1026,46
1027,33
1028,30
1029,60
1030,40
1031,34
1032,48
1033,59
1034,51
1035,55
1036,28
1037,38
1038,30
1039,25
1040,80
1041,45
1042,50
1043,26
1044,67
1045,34
1046,41
1047,59
1048,65
1049,25
1050,40
1051,39
1052,50
1053,41
1054,62
1055,50
1056,54
1057,35
1058,46
1059,40
1060,75
1061,70
1062,31
1063,62
1064,62
1065,50
1066,74
1067,31
1068,52
1069,27
1070,36
1071,66
1072,55
1073,52
1074,53
1075,24
1076,61
1077,57
1078,35
1079,65
1080,35
1081,53
1082,46
1083,52
1084,65
1085,41
1086,33
1087,38
1088,43
1089,32
1090,45
1091,49
1092,39
1093,27
1094,37
1095,70
1096,63
1097,32
1098,35
1099,55
1100,56
1101,35
1102,65
1103,70
1104,48
1105,67
1106,63
1107,40
1108,53
1109,23
1110,32
1111,54
1112,33
1113,59
1114,71
1115,33
1116,53
1117,31
1118,27
1119,60
1120,31
1121,65
1122,50
1123,55
1124,80
1125,51
1126,54
1127,78
1128,43
1129,48
1130,84
1131,34
1132,44
1133,34
1134,39
1135,62
1136,43
1137,26
1138,40
1139,23
1140,48
1141,57
1142,86
1143,68
1144,37
1145,64
1146,44
1147,59
1148,34
1149,26
1150,50
1151,38
1152,58
1153,56
1154,34
1155,51
1156,71
1157,55
1158,40
1159,55
1160,34
1161,34
1162,68
1163,38
1164,31
1165,76
1166,39
1167,30
1168,40
1169,44
1170,60
1171,25
1172,61
1173,35
1174,74
1175,71
1176,65
1177,61
1178,0
1179,40
1180,73
1181,66
1182,48
1183,50
1184,45
1185,60
1186,35
1187,51
1188,55
1189,48
1190,35
1191,48
1192,67
1193,29
1194,44
1195,40
1196,34
1197,28
1198,51
1199,21
1200,51
1201,40
1202,63
1203,34
1204,65
1205,51
1206,42
1207,28
1208,43
1209,52
1210,42
1211,49
1212,47
1213,27
1214,26
1215,61
1216,43
1217,49
1218,28
1219,43
1220,27
1221,35
1222,41
1223,48
1224,31
1225,73
1226,37
1227,62
1228,61
1229,51
1230,28
1231,48
1232,51
1233,29
1234,44
1235,36
1236,57
1237,50
1238,59
1239,39
1240,46
1241,59
1242,48
1243,25
1244,50
1245,37
1246,47
1247,26
1248,25
1249,50
1250,28
1251,42
1252,58
1253,66
1254,45
1255,86
1256,28
1257,74
1258,34
1259,29
1260,44
1261,40
1262,38
1263,59
1264,27
1265,43
1266,43
1267,63
1268,25
1269,60
1270,34
1271,30
1272,37
1273,46
1274,50
1275,63
1276,20
1277,31
1278,54
1279,61
1280,58
1281,13
1282,30
1283,52
1284,64
1285,53
1286,54
1287,49
1288,52
1289,28
1290,25
1291,45
1292,41
1293,66
1294,39
1295,42
1296,47
1297,32
1298,54
1299,46
1300,66
1301,43
1302,27
1303,60
1304,34
1305,47
1306,46
1307,32
1308,32
1309,51
1310,50
1311,51
1312,46
1313,60
1314,87
1315,36
1316,54
1317,56
1318,39
1319,3
1320,75
1321,33
1322,31
1323,45
1324,65
1325,28
1326,35
1327,84
1328,28
1329,38
1330,57
1331,35
1332,74
1333,35
1334,45
1335,49
1336,40
1337,89
1338,40
1339,27
1340,55
1341,29
1342,35
1343,29
1344,54
1345,36
1346,75
1347,29
1348,29
1349,42
1350,39
1351,48
1352,39
1353,33
1354,38
1355,71
1356,45
1357,34
1358,34
1359,59
1360,66
1361,35
1362,29
1363,27
1364,27
1365,23
1366,34
1367,35
1368,21
1369,55
1370,37
1371,54
1372,37
1373,46
1374,36
1375,33
1376,35
1377,29
1378,36
1379,46
1380,83
1381,49
1382,47
1383,53
1384,43
1385,37
1386,59
1387,31
1388,31
1389,35
1390,45
1391,33
1392,16
1393,58
1394,40
1395,45
1396,34
1397,78
1398,51
1399,43
1400,58
1401,33
1402,44
1403,36
1404,33
1405,55
1406,58
1407,45
1408,34
1409,0
1410,32
1411,65
1412,38
1413,56
1414,27
1415,45
1416,20
1417,24
1418,53
1419,34
1420,44
1421,63
1422,55
1423,40
1424,42
1425,41
1426,41
1427,34
1428,47
1429,71
1430,30
1431,33
1432,38
1433,44
1434,58
1435,45
1436,46
1437,64
1438,34
1439,39
1440,71
1441,25
1442,27
1443,63
1444,55
1445,59
1446,38
1447,28
1448,42
1449,43
1450,48
1451,50
1452,34
1453,56
1454,36
1455,53
1456,34
1457,37
1458,44
1459,47
1460,60
1461,35
1462,47
1463,58
1464,37
1465,31
1466,29
1467,36
1468,49
1469,43
1470,58
1471,42
1472,46
1473,50
1474,42
1475,45
1476,60
1477,55
1478,71
1479,44
1480,51
1481,57
1482,45
1483,37
1484,33
1485,46
1486,29
1487,34
1488,48
1489,67
1490,47
1491,57
1492,52
1493,46
1494,34
1495,24
1496,35
1497,40
1498,36
1499,49
1500,67
1501,40
1502,24
1503,51
1504,48
1505,57
1506,77
1507,33
1508,29
1509,46
1510,45
1511,54
1512,52
1513,37
1514,48
1515,65
1516,45
1517,44
1518,39
1519,52
1520,75
1521,27
1522,51
1523,60
1524,29
1525,36
1526,71
1527,40
1528,44
1529,74
1530,38
1531,36
1532,51
1533,57
1534,24
1535,38
1536,71
1537,34
1538,42
1539,52
1540,44
1541,34
1542,45
1543,56
1544,69
1545,31
1546,51
1547,36
1548,79
1549,45
1550,40
1551,49
1552,45
1553,41
1554,33
1555,43
1556,31
1557,60
1558,28
1559,42
1560,41
1561,49
1562,47
1563,52
1564,67
1565,52
1566,27
1567,41
1568,54
1569,39
1570,41
1571,47
1572,49
1573,58
1574,46
1575,59
1576,26
1577,87
1578,60
1579,56
1580,36
1581,41
1582,36
1583,31
1584,38
1585,68
1586,59
1587,30
1588,50
1589,32
1590,50
1591,65
1592,35
1593,52
1594,34
1595,58
1596,39
1597,57
1598,68
1599,54
1600,27
1601,63
1602,31
1603,26
1604,30
1605,44
1606,47
1607,20
1608,43
1609,43
1610,33
1611,53
1612,75
1613,34
1614,41
1615,57
1616,57
1617,37
1618,40
1619,72
1620,39
1621,31
1622,30
1623,44
1624,32
1625,34
1626,61
1627,48
1628,72
1629,48
1630,59
1631,26
1632,46
1633,34
1634,47
1635,70
1636,54
1637,69
1638,70
1639,58
1640,35
1641,63
1642,60
1643,55
1644,47
1645,36
